Party,President
Others,George Washington
Others,George Washington
Others,John Adams
Others,Thomas Jefferson
Others,Thomas Jefferson
Others,James Madison
Others,James Madison
Others,James Monroe
Others,James Monroe
Others,John Quincy Adams
Democratic,Andrew Jackson
Democratic,Andrew Jackson
Democratic,Martin Van Buren
Others,William Henry Harrison
Democratic,James K. Polk
Others,Zachary Taylor
Democratic,Zachary Taylor
Democratic,James Buchanan
Others,Abraham Lincoln
Others,Andrew Johnson
Republican,Ulysses S. Grant
Republican,Ulysses S. Grant
Republican,Rutherford B. Hayes
Others,James A. Garfield
Democratic,Grover Cleveland
Republican,Benjamin Harrison
Democratic,Grover Cleveland
Republican,William McKinley
Republican,William McKinley
Republican,Theodore Roosevelt
Republican,William Howard Taft
Democratic,Woodrow Wilson
Democratic,Woodrow Wilson
Republican,Warren G. Harding
Republican,Calvin Coolidge
Republican,Herbert Hoover
Democratic,Franklin D. Roosevelt
Democratic,Franklin D. Roosevelt
Democratic,Franklin D. Roosevelt
Democratic,Franklin D. Roosevelt
Democratic,Harry S. Truman
Republican,Dwight D. Eisenhower
Republican,Dwight D. Eisenhower
Democratic,John F. Kennedy
Democratic,Lyndon B. Johnson
Republican,Richard Nixon
Republican,Richard Nixon
Democratic,Jimmy Carter
Republican,Ronald Reagan
Republican,George H. W. Bush
Republican,George H. W. Bush
Democratic,Bill Clinton
Democratic,Bill Clinton
Republican,George W. Bush
Republican,George W. Bush
Democratic,Barack Obama
Democratic,Barack Obama
Republican,Donald Trump
